gram,sum_total,panel
the hypothesis,37379,hypothesis
this hypothesis,20937,hypothesis
null hypothesis,12921,hypothesis
a hypothesis,4696,hypothesis
our hypothesis,3225,hypothesis
alternative hypothesis,2538,hypothesis
second hypothesis,1312,hypothesis
general hypothesis,1236,hypothesis
first hypothesis,1192,hypothesis
an hypothesis,1149,hypothesis
working hypothesis,1122,hypothesis
disturbance hypothesis,918,hypothesis
one hypothesis,810,hypothesis
competition hypothesis,788,hypothesis
limitation hypothesis,780,hypothesis
phylogenetic hypothesis,712,hypothesis
new hypothesis,673,hypothesis
balance hypothesis,630,hypothesis
of hypothesis,625,hypothesis
predation hypothesis,620,hypothesis
third hypothesis,573,hypothesis
and hypothesis,571,hypothesis
selection hypothesis,551,hypothesis
release hypothesis,515,hypothesis
species hypothesis,500,hypothesis
ratio hypothesis,476,hypothesis
stress hypothesis,467,hypothesis
latter hypothesis,430,hypothesis
availability hypothesis,400,hypothesis
their hypothesis,399,hypothesis
for hypothesis,397,hypothesis
original hypothesis,392,hypothesis
size hypothesis,386,hypothesis
efficiency hypothesis,383,hypothesis
that hypothesis,381,hypothesis
his hypothesis,373,hypothesis
queen hypothesis,370,hypothesis
initial hypothesis,361,hypothesis
insurance hypothesis,355,hypothesis
another hypothesis,351,hypothesis
off hypothesis,349,hypothesis
energy hypothesis,346,hypothesis
allocation hypothesis,339,hypothesis
mortality hypothesis,318,hypothesis
each hypothesis,317,hypothesis
time hypothesis,317,hypothesis
effect hypothesis,303,hypothesis
above hypothesis,300,hypothesis
tion hypothesis,290,hypothesis
handicap hypothesis,283,hypothesis
satellite hypothesis,275,hypothesis
vigor hypothesis,275,hypothesis
cnb hypothesis,265,hypothesis
refuge hypothesis,262,hypothesis
heterogeneity hypothesis,253,hypothesis
diversity hypothesis,250,hypothesis
escape hypothesis,247,hypothesis
dispersal hypothesis,244,hypothesis
avoidance hypothesis,243,hypothesis
variation hypothesis,243,hypothesis
evolutionary hypothesis,240,hypothesis
rate hypothesis,236,hypothesis
testable hypothesis,231,hypothesis
zuk hypothesis,229,hypothesis
area hypothesis,226,hypothesis
my hypothesis,225,hypothesis
to hypothesis,225,hypothesis
concentration hypothesis,222,hypothesis
eica hypothesis,220,hypothesis
specific hypothesis,220,hypothesis
following hypothesis,219,hypothesis
any hypothesis,216,hypothesis
alternate hypothesis,213,hypothesis
son hypothesis,213,hypothesis
connell hypothesis,209,hypothesis
optimization hypothesis,209,hypothesis
priori hypothesis,207,hypothesis
quality hypothesis,202,hypothesis
reduction hypothesis,199,hypothesis
sample hypothesis,199,hypothesis
chitty hypothesis,196,hypothesis
